L,U,T
169,176.0,14
164,166.0,15
133,140.0,13
174,180.0,13
110,119.0,13
157,163.0,13
157,164.0,18
140,145.0,18
142,149.0,19
123,131.0,13
169,177.0,86
171,178.0,25
154,160.0,30
175,181.0,13
158,164.0,13
156,158.0,109
154,160.0,5
179,188.0,25
170,177.0,15
159,168.0,17
124,131.0,14
118,inf,61
151,158.0,14
178,183.0,26
169,178.0,13
152,158.0,22
168,171.0,17
129,133.0,22
150,157.0,13
145,147.0,16
139,145.0,61
150,158.0,13
157,162.0,15
119,124.0,13
151,159.0,14
153,159.0,13
141,151.0,25
169,175.0,14
73,83.0,14
151,158.0,15
181,188.0,13
164,170.0,13
155,161.0,14
187,inf,25
163,170.0,3
169,179.0,13
159,166.0,13
109,inf,15
141,148.0,22
134,141.0,19
151,159.0,40
148,155.0,13
116,121.0,37
103,110.0,13
146,155.0,14
150,156.0,13
159,167.0,16
137,150.0,100
157,164.0,13
129,135.0,16
175,181.0,15
159,167.0,14
176,179.0,14
164,171.0,13
159,164.0,16
126,132.0,13
155,162.0,16
159,166.0,109
137,143.0,17
132,137.0,17
153,160.0,18
82,88.0,4
181,187.0,16
133,145.0,16
145,158.0,13
123,126.0,13
165,168.0,154
171,177.0,15
148,154.0,66
163,169.0,49
163,167.0,13
181,190.0,13
164,169.0,13
38,inf,27
149,155.0,26
110,116.0,23
128,134.0,13
148,154.0,13
177,180.0,13
137,143.0,19
171,177.0,13
139,145.0,15
140,146.0,15
169,175.0,14
157,164.0,25
159,164.0,25
138,140.0,1
161,172.0,13
181,188.0,13
114,117.0,15
111,115.0,17
148,152.0,39
171,183.0,16
186,inf,13
146,148.0,13
132,138.0,13
171,177.0,13
155,159.0,125
134,141.0,38
32,inf,13
130,135.0,15
116,122.0,14
158,164.0,29
165,170.0,15
158,165.0,15
157,164.0,53
172,179.0,19
163,167.0,13
151,157.0,13
112,123.0,13
132,134.0,13
152,158.0,13
177,182.0,27
153,159.0,27
145,155.0,86
157,165.0,14
164,170.0,25
164,170.0,26
164,170.0,20
92,inf,17
129,135.0,15
108,110.0,13
121,129.0,13
187,inf,1
169,176.0,1
158,164.0,49
178,185.0,174
112,118.0,25
189,inf,15
181,187.0,13
172,178.0,13
146,154.0,15
170,177.0,13
125,129.0,14
175,182.0,25
147,153.0,29
157,165.0,19
151,157.0,1
140,143.0,13
170,177.0,13
177,182.0,3
160,162.0,13
148,151.0,3
160,167.0,3
139,146.0,15
148,153.0,17
134,142.0,17
176,181.0,14
147,155.0,26
155,159.0,17
155,159.0,14
133,140.0,14
164,170.0,27
109,120.0,14
71,inf,14
157,163.0,14
176,188.0,13
163,171.0,14
182,188.0,111
121,131.0,13
181,187.0,131
151,160.0,126
159,164.0,13
163,170.0,17
136,144.0,15
157,164.0,49
188,inf,13
110,117.0,16
133,147.0,25
181,185.0,13
143,146.0,13
166,177.0,13
150,162.0,13
175,185.0,14
135,137.0,14
113,115.0,14
141,145.0,13
178,181.0,13
159,168.0,28
117,130.0,59
175,181.0,13
177,183.0,13
146,155.0,13
118,124.0,19
127,130.0,19
134,139.0,13
187,inf,117
154,159.0,13
159,164.0,15
162,168.0,18
170,182.0,13
97,102.0,26
133,145.0,25
152,157.0,6
174,181.0,6
142,145.0,13
133,140.0,13
145,151.0,14
82,inf,25
169,174.0,15
166,175.0,66
134,143.0,19
170,175.0,18
159,166.0,13
128,134.0,2
140,149.0,2
35,inf,17
164,170.0,38
182,188.0,14
136,141.0,15
169,175.0,13
109,115.0,13
168,173.0,66
175,180.0,17
181,187.0,13
181,187.0,13
122,145.0,122
175,187.0,17
188,inf,164
176,182.0,18
87,94.0,27
123,131.0,27
145,148.0,27
109,114.0,7
133,139.0,9
181,187.0,1
166,172.0,18
136,144.0,13
183,188.0,13
150,157.0,13
127,131.0,13
136,143.0,84
145,151.0,81
164,169.0,13
150,156.0,24
121,129.0,13
151,155.0,13
150,157.0,14
158,168.0,109
183,189.0,13
92,inf,2
92,inf,2
116,122.0,5
73,78.0,13
116,122.0,31
171,176.0,15
122,131.0,2
181,187.0,14
182,inf,19
97,109.0,1
110,inf,13
124,130.0,16
116,124.0,18
181,inf,13
130,136.0,103
117,124.0,25
137,143.0,13
170,176.0,25
180,182.0,13
161,168.0,22
150,153.0,28
157,163.0,13
170,175.0,13
140,145.0,13
164,176.0,16
165,169.0,26
181,186.0,26
143,149.0,28
171,176.0,19
176,182.0,13
164,171.0,13
169,176.0,14
168,181.0,151
185,188.0,26
181,188.0,18
156,161.0,13
172,177.0,14
181,189.0,17
124,132.0,14
129,135.0,13
146,148.0,13
155,158.0,13
163,169.0,13
131,134.0,13
97,104.0,13
152,157.0,1
139,147.0,15
148,157.0,148
178,184.0,19
132,137.0,13
167,171.0,1
177,184.0,51
38,inf,27
110,116.0,16
174,179.0,14
163,169.0,63
116,122.0,1
134,140.0,1
128,134.0,3
139,145.0,15
124,131.0,13
186,inf,13
148,155.0,13
148,154.0,25
140,146.0,14
173,179.0,18
170,176.0,14
151,155.0,13
144,148.0,13
169,179.0,13
110,115.0,13
145,151.0,13
164,169.0,13
166,172.0,14
178,186.0,17
133,140.0,110
169,176.0,13
103,115.0,13
37,inf,37
153,159.0,14
146,153.0,3
116,123.0,3
107,113.0,15
33,181.0,15
157,169.0,98
128,134.0,15
177,185.0,13
159,173.0,19
142,inf,117
163,170.0,15
175,181.0,117
151,156.0,15
119,122.0,15
159,165.0,13
68,inf,62
158,164.0,13
70,inf,62
122,127.0,15
133,144.0,15
159,168.0,15
143,148.0,13
169,180.0,13
133,140.0,13
151,159.0,19
170,176.0,15
174,179.0,15
136,142.0,17
130,135.0,27
147,151.0,27
169,174.0,1
177,183.0,45
134,139.0,13
109,115.0,25
177,181.0,1
174,176.0,13
179,inf,14
178,183.0,13
157,164.0,15
151,157.0,15
177,180.0,18
132,139.0,13
147,151.0,13
156,164.0,14
182,inf,13
150,155.0,15
147,155.0,14
134,143.0,16
121,128.0,18
164,169.0,1
170,176.0,13
145,155.0,20
163,174.0,157
169,181.0,1
135,140.0,14
177,181.0,157
168,175.0,102
165,171.0,1
134,147.0,13
103,115.0,14
154,160.0,21
165,170.0,13
136,143.0,14
150,155.0,28
85,91.0,25
151,164.0,13
172,180.0,13
172,180.0,13
58,inf,49
174,181.0,2
144,150.0,14
160,168.0,14
122,129.0,15
145,150.0,15
160,168.0,17
166,174.0,14
181,188.0,14
141,147.0,13
143,150.0,41
151,159.0,13
153,160.0,13
180,186.0,41
165,172.0,14
157,162.0,1
133,144.0,15
156,161.0,146
130,135.0,16
168,173.0,168
157,163.0,18
188,inf,13
91,inf,59
169,182.0,17
136,143.0,18
151,159.0,13
159,166.0,13
66,inf,50
124,127.0,15
64,inf,13
146,153.0,26
160,164.0,13
130,134.0,2
133,142.0,2
187,inf,14
135,140.0,14
128,135.0,14
132,inf,121
164,166.0,16
133,142.0,13
154,158.0,15
139,147.0,15
133,143.0,33
163,169.0,1
173,177.0,13
174,177.0,13
131,135.0,13
135,146.0,13
151,157.0,13
175,181.0,14
127,133.0,13
129,131.0,13
158,160.0,49
137,143.0,14
167,172.0,137
157,164.0,13
163,171.0,17
137,143.0,17
166,173.0,13
157,162.0,85
187,inf,2
188,inf,25
150,157.0,13
171,178.0,28
110,113.0,13
172,180.0,14
167,172.0,14
145,154.0,14
164,170.0,13
108,114.0,13
162,168.0,13
171,183.0,13
177,182.0,49
157,166.0,138
145,151.0,13
157,163.0,13
162,174.0,49
130,135.0,1
169,179.0,14
171,179.0,14
179,181.0,14
187,inf,14
130,134.0,17
71,inf,14
170,175.0,13
150,157.0,13
174,186.0,13
82,inf,14
176,182.0,14
184,190.0,13
180,184.0,13
158,164.0,26
137,140.0,13
175,182.0,13
157,164.0,13
146,151.0,25
168,174.0,72
100,107.0,13
121,127.0,14
131,137.0,16
154,159.0,1
100,105.0,14
135,139.0,17
71,inf,14
154,159.0,1
188,inf,63
176,184.0,63
156,159.0,63
56,inf,50
146,150.0,62
167,170.0,18
174,179.0,13
165,174.0,13
140,146.0,44
175,180.0,72
165,172.0,1
133,141.0,14
188,inf,14
135,144.0,105
99,inf,51
128,134.0,61
178,184.0,13
160,166.0,13
153,161.0,21
156,160.0,70
128,133.0,69
167,172.0,13
134,139.0,49
169,175.0,19
158,164.0,13
131,137.0,18
188,inf,19
169,175.0,17
160,162.0,13
157,163.0,14
149,155.0,13
136,141.0,13
34,inf,16
145,156.0,1
159,168.0,1
159,165.0,2
182,188.0,25
121,129.0,14
157,166.0,14
133,141.0,14
128,133.0,17
137,141.0,14
103,109.0,16
139,147.0,125
165,171.0,15
189,inf,15
186,189.0,15
166,169.0,13
149,154.0,15
145,153.0,26
160,167.0,18
116,inf,26
136,147.0,13
145,151.0,15
134,139.0,39
157,164.0,13
181,188.0,31
146,151.0,1
127,127.0,2
157,163.0,13
122,129.0,37
151,159.0,13
117,125.0,31
154,160.0,15
165,171.0,18
139,145.0,13
158,164.0,14
34,inf,13
182,inf,86
169,175.0,86
121,125.0,13
130,136.0,14
145,154.0,15
152,158.0,15
177,182.0,13
162,170.0,16
72,inf,39
24,inf,14
138,150.0,29
147,157.0,19
176,181.0,15
134,141.0,13
124,130.0,19
169,175.0,19
121,132.0,13
127,140.0,13
132,137.0,18
128,136.0,13
163,171.0,20
130,136.0,37
152,157.0,13
145,151.0,1
161,165.0,13
134,143.0,17
145,150.0,17
134,139.0,14
155,158.0,14
142,148.0,1
181,187.0,157
157,164.0,36
109,115.0,13
168,170.0,16
133,140.0,13
160,163.0,13
166,171.0,147
163,169.0,133
157,163.0,1
127,133.0,4
156,156.0,1
105,112.0,16
147,156.0,17
130,139.0,29
160,163.0,13
158,160.0,14
110,114.0,13
123,128.0,13
170,176.0,26
132,137.0,13
110,118.0,88
176,182.0,27
33,inf,26
161,167.0,39
151,159.0,14
149,155.0,28
150,157.0,19
115,121.0,13
109,115.0,13
68,inf,68
80,87.0,14
187,inf,127
106,114.0,62
169,175.0,150
129,inf,124
155,160.0,13
151,173.0,15
116,121.0,49
139,145.0,49
120,124.0,18
154,164.0,13
169,173.0,13
121,127.0,13
157,164.0,157
157,163.0,42
157,163.0,13
183,186.0,13
182,187.0,13
145,153.0,51
146,152.0,1
145,150.0,13
133,140.0,14
182,188.0,26
141,144.0,15
161,166.0,54
145,154.0,17
136,141.0,17
185,inf,26
115,122.0,13
151,158.0,17
168,174.0,15
32,184.0,14
103,114.0,13
92,98.0,13
145,153.0,1
172,178.0,31
118,123.0,13
181,188.0,85
148,151.0,14
169,178.0,25
170,177.0,17
157,162.0,13
175,180.0,13
98,106.0,13
137,143.0,17
165,171.0,157
145,150.0,13
121,127.0,13
109,116.0,16
89,99.0,14
159,173.0,14
172,180.0,172
166,171.0,82
141,148.0,13
123,131.0,13
145,152.0,49
179,187.0,14
163,168.0,7
115,121.0,13
140,146.0,14
127,130.0,73
70,inf,49
70,inf,49
157,160.0,73
70,inf,49
70,inf,49
70,inf,49
70,inf,49
70,inf,49
70,inf,49
133,141.0,1
151,157.0,26
178,183.0,14
87,93.0,14
183,inf,13
100,104.0,14
149,155.0,29
163,169.0,17
181,inf,144
110,117.0,13
145,151.0,13
128,134.0,25
153,157.0,25
169,174.0,25
187,inf,14
124,131.0,16
166,172.0,88
122,127.0,1
127,133.0,1
136,142.0,15
142,148.0,15
114,123.0,13
123,130.0,25
19,inf,7
127,133.0,25
150,177.0,124
153,163.0,13
170,178.0,14
150,175.0,14
139,142.0,14
158,167.0,24
169,176.0,25
157,165.0,26
134,139.0,15
116,123.0,15
181,187.0,1
157,163.0,25
175,181.0,18
170,179.0,25
181,186.0,13
170,172.0,16
188,inf,26
157,163.0,39
121,127.0,13
102,109.0,13
164,170.0,14
56,inf,13
157,164.0,25
181,187.0,25
164,169.0,25
150,157.0,98
158,165.0,15
157,165.0,1
127,129.0,111
179,181.0,13
169,182.0,133
158,163.0,133
170,178.0,1
121,129.0,1
159,164.0,13
175,179.0,14
169,175.0,1
170,176.0,26
133,141.0,2
159,165.0,135
173,176.0,13
165,168.0,13
32,181.0,14
187,inf,1
161,168.0,13
163,170.0,85
181,187.0,49
133,144.0,15
125,131.0,17
170,173.0,13
112,115.0,13
166,169.0,1
188,inf,1
139,148.0,14
170,175.0,2
105,110.0,1
140,147.0,1
145,169.0,121
124,159.0,13
157,163.0,13
153,157.0,13
182,inf,13
150,154.0,13
31,inf,20
123,130.0,25
160,166.0,16
168,173.0,13
170,180.0,2
118,126.0,17
133,140.0,14
147,151.0,1
148,154.0,15
146,151.0,4
157,164.0,1
146,154.0,3
123,129.0,3
134,141.0,18
118,inf,3
158,163.0,13
67,150.0,13
150,159.0,13
151,158.0,13
160,166.0,40
158,161.0,19
141,148.0,14
187,inf,14
155,160.0,13
139,146.0,15
176,181.0,14
153,164.0,52
139,146.0,13
170,179.0,13
170,177.0,13
187,inf,16
151,159.0,13
182,inf,13
109,117.0,97
133,143.0,14
115,121.0,14
169,176.0,19
181,inf,13
140,147.0,15
139,145.0,13
130,135.0,16
187,inf,13
158,163.0,13
147,172.0,13
145,155.0,16
161,165.0,13
168,173.0,15
159,165.0,15
160,167.0,73
157,168.0,18
115,122.0,21
151,157.0,18
157,165.0,14
134,142.0,13
161,166.0,13
101,107.0,16
81,89.0,18
147,164.0,15
86,94.0,15
133,139.0,102
155,160.0,13
171,177.0,171
129,139.0,13
139,148.0,13
154,157.0,14
189,inf,13
178,181.0,14
145,150.0,19
145,151.0,14
113,118.0,13
149,152.0,14
130,136.0,25
133,140.0,25
150,156.0,18
145,152.0,136
152,163.0,136
189,inf,13
150,157.0,13
133,142.0,14
