L,U,T
95,101.0,13
122,128.0,15
67,inf,13
157,165.0,13
172,179.0,21
171,179.0,19
71,inf,62
102,109.0,17
131,151.0,127
129,143.0,14
136,142.0,15
179,185.0,21
121,131.0,15
149,156.0,15
123,130.0,49
155,161.0,18
154,161.0,15
132,138.0,14
169,176.0,3
169,175.0,13
159,164.0,37
178,185.0,13
168,inf,154
105,109.0,15
176,181.0,13
157,160.0,14
126,134.0,13
116,125.0,1
98,106.0,17
159,166.0,18
142,145.0,1
174,181.0,15
129,133.0,63
150,155.0,14
181,188.0,14
175,182.0,26
164,169.0,13
119,122.0,15
155,161.0,17
153,157.0,1
104,110.0,26
127,135.0,16
169,177.0,13
121,127.0,13
163,169.0,13
168,179.0,18
148,162.0,18
163,172.0,159
145,152.0,13
147,151.0,13
145,147.0,13
169,175.0,25
139,146.0,15
150,157.0,13
133,136.0,13
159,165.0,14
159,165.0,13
148,153.0,148
137,142.0,15
133,139.0,13
169,176.0,13
163,175.0,163
153,158.0,52
133,142.0,121
135,142.0,14
188,inf,14
166,173.0,17
148,155.0,3
162,168.0,13
91,101.0,13
157,164.0,1
165,171.0,15
145,151.0,3
187,190.0,3
155,162.0,13
121,126.0,13
163,170.0,13
101,107.0,64
141,147.0,13
60,inf,1
157,163.0,14
134,141.0,13
173,180.0,16
153,160.0,13
181,187.0,13
163,169.0,27
105,111.0,27
100,103.0,25
170,180.0,17
166,172.0,154
175,181.0,14
135,139.0,23
139,139.0,24
136,144.0,15
182,187.0,14
170,177.0,20
175,181.0,25
172,178.0,25
112,118.0,25
164,168.0,24
171,177.0,62
170,175.0,133
120,125.0,14
126,140.0,14
168,174.0,15
133,140.0,13
162,173.0,16
133,146.0,13
157,164.0,13
133,146.0,13
91,98.0,13
85,inf,1
129,133.0,14
169,178.0,14
140,145.0,14
122,131.0,13
137,143.0,28
127,133.0,25
122,128.0,14
97,105.0,49
103,106.0,16
148,156.0,49
186,inf,17
163,170.0,13
162,165.0,13
164,169.0,42
172,175.0,133
168,172.0,13
170,175.0,14
139,144.0,14
140,146.0,15
169,175.0,15
135,144.0,15
158,166.0,14
123,127.0,13
98,108.0,25
133,145.0,25
158,165.0,15
189,inf,109
157,163.0,15
171,178.0,16
188,inf,15
157,163.0,15
164,175.0,160
184,inf,17
127,133.0,20
178,181.0,14
150,158.0,13
132,136.0,13
146,154.0,19
171,179.0,19
143,150.0,14
171,177.0,14
148,154.0,15
170,176.0,15
159,166.0,17
178,183.0,13
177,184.0,14
123,129.0,51
145,145.0,13
151,157.0,13
144,150.0,16
170,176.0,14
182,188.0,18
133,140.0,2
145,151.0,26
124,130.0,17
176,179.0,2
136,139.0,1
144,146.0,7
97,108.0,2
181,189.0,2
179,183.0,1
120,122.0,2
173,178.0,16
157,164.0,13
158,166.0,17
133,139.0,13
140,147.0,14
152,158.0,14
190,inf,18
133,133.0,15
178,186.0,14
181,190.0,14
